Wavelength (nm),Relative Spectral Sensitivity,,,
1011.1709,0.7125,,,
1011.1721,0.7098,,,
1011.1733,0.7072,,,
1012.9503,0.7045,,,
1012.9514,0.7019,,,
1012.9526,0.6992,,,
1012.9538,0.6965,,,
1014.7308,0.6939,,,
1014.732,0.6912,,,
1014.7332,0.6886,,,
1014.7343,0.6859,,,
1014.7355,0.6833,,,
1016.5125,0.6806,,,
1016.5137,0.678,,,
1016.5149,0.6753,,,
1016.516,0.6726,,,
1018.293,0.67,,,
1018.2942,0.6673,,,
1018.2953,0.6646,,,
1018.2966,0.662,,,
1020.0735,0.6594,,,
1020.0747,0.6566,,,
1020.0759,0.6541,,,
1020.0771,0.6514,,,
1020.0783,0.6487,,,
1021.8552,0.6461,,,
1021.8564,0.6434,,,
1021.8576,0.6408,,,
1021.8588,0.6381,,,
1023.6358,0.6355,,,
1023.6369,0.6328,,,
1023.6381,0.6301,,,
1023.6393,0.6275,,,
1023.6404,0.6248,,,
1025.4175,0.6221,,,
1025.4186,0.6195,,,
1025.4198,0.6169,,,
1025.421,0.6141,,,
1027.198,0.6116,,,
1027.1992,0.6089,,,
1027.2003,0.6061,,,
1027.2015,0.6036,,,
1027.2027,0.6009,,,
1028.9797,0.5983,,,
1028.9809,0.5956,,,
1028.982,0.593,,,
1028.9832,0.5903,,,
1028.9844,0.5876,,,
1030.7614,0.585,,,
1030.7626,0.5823,,,
1030.7637,0.5796,,,
1030.7649,0.577,,,
1032.5419,0.5744,,,
1032.5431,0.5716,,,
1032.5443,0.5691,,,
1032.5453,0.5664,,,
1032.5466,0.5636,,,
1034.3235,0.5611,,,
1034.3248,0.5584,,,
1034.326,0.5558,,,
1034.3271,0.5531,,,
1034.3283,0.5505,,,
1036.1053,0.5478,,,
1036.1065,0.5452,,,
1036.1077,0.5425,,,
1036.1088,0.5398,,,
1036.11,0.5372,,,
1037.887,0.5345,,,
1037.8881,0.5319,,,
1037.8894,0.5292,,,
1037.8904,0.5266,,,
1037.8917,0.5239,,,
1039.6686,0.5211,,,
1039.6699,0.5186,,,
1039.6711,0.5159,,,
1039.6722,0.5133,,,
1039.6734,0.5106,,,
1041.4504,0.508,,,
1041.4516,0.5053,,,
1041.4527,0.5027,,,
1041.4539,0.5,,,
1041.4551,0.4973,,,
1043.2321,0.4947,,,
1043.2333,0.492,,,
1043.2345,0.4894,,,
1043.2356,0.4867,,,
1043.2368,0.4841,,,
1045.0138,0.4814,,,
1045.015,0.4788,,,
1045.0162,0.4761,,,
1045.0173,0.4734,,,
1045.0185,0.4708,,,
1046.7955,0.4681,,,
1046.7967,0.4655,,,
1046.7979,0.4628,,,
1046.799,0.4602,,,
1046.8002,0.4575,,,
1048.5772,0.4548,,,
1048.5784,0.4522,,,
1048.5796,0.4495,,,
1048.5807,0.4469,,,
1048.5819,0.4442,,,
1048.5831,0.4416,,,
1050.3601,0.4389,,,
1050.3613,0.4363,,,
1050.3624,0.4336,,,
1050.3636,0.4309,,,
1050.3648,0.4283,,,
1052.1418,0.4256,,,
1052.143,0.423,,,
1052.1441,0.4203,,,
1052.1453,0.4177,,,
1053.9223,0.415,,,
1053.9235,0.4123,,,
1053.9247,0.4097,,,
1053.9258,0.407,,,
1053.927,0.4043,,,
1053.9282,0.4017,,,
1053.9294,0.3991,,,
1055.7064,0.3963,,,
1055.7075,0.3938,,,
1055.7086,0.3911,,,
1055.7099,0.3884,,,
1055.7111,0.3858,,,
1057.4881,0.3831,,,
1057.4892,0.3805,,,
1057.4904,0.3778,,,
1057.4916,0.3752,,,
1057.4928,0.3725,,,
1059.2698,0.3699,,,
1059.2709,0.3672,,,
1059.2721,0.3645,,,
1059.2732,0.3618,,,
1059.2745,0.3592,,,
1061.0515,0.3566,,,
1061.0526,0.3538,,,
1061.0538,0.3513,,,
1061.055,0.3486,,,
1061.0562,0.3458,,,
1062.8332,0.3433,,,
1062.8343,0.3406,,,
1062.8355,0.338,,,
1062.8367,0.3353,,,
1062.8378,0.3327,,,
1064.6149,0.33,,,
1064.616,0.3274,,,
1064.6172,0.3247,,,
1064.6183,0.322,,,
1064.6196,0.3194,,,
1066.3966,0.3167,,,
1066.3977,0.3141,,,
1066.3989,0.3114,,,
1066.4001,0.3088,,,
1066.4013,0.3061,,,
1068.1783,0.3035,,,
1068.1794,0.3008,,,
1068.1806,0.2981,,,
1068.1818,0.2955,,,
1069.9588,0.2928,,,
1069.96,0.2902,,,
1069.9611,0.2875,,,
1069.9623,0.2849,,,
1069.9635,0.2822,,,
1071.7405,0.2795,,,
1071.7417,0.2769,,,
1071.7428,0.2742,,,
1071.744,0.2716,,,
1073.521,0.2689,,,
1073.5222,0.2663,,,
1073.5234,0.2636,,,
1073.5245,0.261,,,
1073.5257,0.2583,,,
1075.3027,0.2556,,,
1075.3039,0.253,,,
1075.3051,0.2503,,,
1075.3062,0.2477,,,
1077.0832,0.245,,,
1077.0844,0.2424,,,
1077.0856,0.2397,,,
1077.0868,0.2371,,,
1078.8638,0.2344,,,
1078.8649,0.2317,,,
1078.866,0.2291,,,
1078.8673,0.2264,,,
1080.6442,0.2238,,,
1080.6455,0.2211,,,
1080.6465,0.2185,,,
1080.6478,0.2158,,,
1082.4248,0.2131,,,
1082.426,0.2105,,,
1082.4272,0.2078,,,
1084.2041,0.2052,,,
1084.2053,0.2025,,,
1084.2065,0.1999,,,
1084.2077,0.1972,,,
1085.9847,0.1945,,,
1085.9858,0.1919,,,
1085.987,0.1892,,,
1087.764,0.1865,,,
1087.7652,0.1839,,,
1087.7664,0.1813,,,
1089.5433,0.1786,,,
1089.5445,0.176,,,
1089.5457,0.1733,,,
1091.3227,0.1707,,,
1091.3239,0.168,,,
1091.325,0.1653,,,
1093.102,0.1627,,,
1093.1032,0.16,,,
1093.1044,0.1574,,,
1094.8814,0.1547,,,
1094.8824,0.1521,,,
1096.6583,0.1521,,,
1096.6595,0.1494,,,
