Wavelength (nm) - Plot 0,Counts
492.982,687
493.334,693
493.686,691
494.038,709
494.389,731
494.741,738
495.092,738
495.444,739
495.795,742
496.147,756
496.498,769
496.849,763
497.201,787
497.552,780
497.903,805
498.254,795
498.605,806
498.956,818
499.307,803
499.658,844
500.009,821
500.36,844
500.711,855
501.062,838
501.413,862
501.763,851
502.114,854
502.465,877
502.815,882
503.166,902
503.516,898
503.867,893
504.217,916
504.568,920
504.918,915
505.268,923
505.618,932
505.969,933
506.319,925
506.669,946
507.019,952
507.369,939
507.719,955
508.069,958
508.419,971
508.769,978
509.119,982
509.469,969
509.818,995
510.168,988
510.518,995
510.867,983
511.217,1005
511.566,989
511.916,1004
512.265,987
512.615,1014
512.964,1010
513.314,1012
513.663,992
514.012,1014
514.361,1025
514.71,1023
515.06,1032
515.409,1021
515.758,1025
516.107,1040
516.456,1033
516.804,1048
517.153,1031
517.502,1031
517.851,1037
518.2,1032
518.548,1042
518.897,1027
519.246,1029
519.594,1039
519.943,1032
520.291,1042
520.64,1035
520.988,1032
521.336,1056
521.685,1037
522.033,1059
522.381,1061
522.729,1036
523.077,1036
523.426,1043
523.774,1055
524.122,1037
524.47,1055
524.817,1053
525.165,1043
525.513,1036
525.861,1038
526.209,1043
526.556,1033
526.904,1042
527.252,1055
527.599,1038
527.947,1035
528.294,1048
528.642,1049
528.989,1043
529.337,1031
529.684,1048
530.031,1046
530.378,1026
530.726,1039
531.073,1049
531.42,1032
531.767,1042
532.114,1029
532.461,1021
532.808,1033
533.155,1020
533.502,1033
533.848,1034
534.195,1020
534.542,1032
534.888,1025
535.235,1023
535.582,1026
535.928,1009
536.275,1011
536.621,1011
536.968,1025
537.314,992
537.66,1009
538.007,998
538.353,1007
538.699,981
539.045,985
539.391,993
539.737,993
540.083,981
540.429,979
540.775,978
541.121,999
541.467,963
541.813,969
542.159,963
542.504,965
542.85,956
543.196,949
543.541,954
543.887,936
544.232,945
544.578,945
544.923,939
545.269,933
545.614,949
545.959,939
546.304,921
546.65,933
546.995,929
547.34,924
547.685,918
548.03,905
548.375,923
548.72,923
549.065,923
549.41,910
549.754,902
550.099,898
550.444,904
550.789,913
551.133,895
551.478,900
551.822,896
552.167,893
552.511,880
552.856,873
553.2,890
553.544,883
553.889,876
554.233,885
554.577,865
554.921,875
555.265,862
555.61,864
555.954,836
556.298,844
556.641,859
556.985,852
557.329,851
557.673,845
558.017,854
558.36,835
558.704,839
559.048,814
559.391,829
559.735,827
560.078,840
560.422,837
560.765,819
561.109,817
561.452,834
561.795,839
562.138,812
562.482,823
562.825,823
563.168,809
563.511,808
563.854,812
564.197,810
564.54,801
564.883,803
565.226,802
565.568,797
565.911,805
566.254,797
566.596,780
566.939,787
567.282,786
567.624,786
567.967,785
568.309,781
568.652,779
568.994,780
569.336,775
569.678,784
570.021,779
570.363,770
570.705,767
571.047,764
571.389,777
571.731,775
572.073,760
572.415,760
572.757,773
573.099,749
573.44,754
573.782,757
574.124,760
574.465,758
574.807,764
575.149,733
575.49,729
575.832,742
576.173,729
576.514,736
576.856,730
577.197,746
577.538,739
577.879,724
578.221,719
578.562,725
578.903,726
579.244,719
579.585,712
579.926,720
580.267,697
580.607,703
580.948,700
581.289,697
581.63,699
581.97,699
582.311,713
582.652,702
582.992,688
583.333,698
583.673,680
584.013,677
584.354,680
584.694,695
585.034,679
585.375,673
585.715,668
586.055,667
586.395,666
586.735,663
587.075,653
587.415,656
587.755,641
588.095,655
588.435,658
588.774,645
589.114,633
589.454,628
589.793,631
590.133,629
590.472,625
590.812,636
591.151,620
591.491,616
591.83,616
592.17,607
592.509,602
592.848,609
593.187,606
593.526,608
593.865,590
594.205,588
594.544,586
594.883,576
595.221,589
595.56,576
595.899,589
596.238,571
596.577,578
596.915,556
597.254,563
597.593,559
597.931,561
598.27,555
598.608,563
598.947,553
599.285,547
599.623,537
599.962,547
600.3,531
600.638,528
600.976,536
601.314,526
601.652,517
601.99,520
602.328,524
602.666,520
603.004,507
603.342,515
603.68,513
604.018,512
604.355,497
604.693,507
605.03,506
605.368,507
605.706,495
606.043,494
606.38,491
606.718,496
607.055,488
607.392,484
607.73,497
608.067,486
608.404,486
608.741,489
609.078,470
609.415,485
609.752,471
610.089,473
610.426,476
610.763,471
611.1,473
611.436,468
611.773,472
612.11,463
612.446,469
612.783,467
613.12,467
613.456,460
613.792,460
614.129,462
614.465,458
614.801,452
615.138,454
615.474,444
615.81,453
616.146,448
616.482,441
616.818,441
617.154,447
617.49,430
617.826,429
618.162,440
618.498,438
618.833,445
619.169,436
619.505,420
619.84,426
620.176,430
620.511,418
620.847,424
621.182,420
621.518,420
621.853,415
622.188,416
622.524,410
622.859,408
623.194,412
623.529,405
623.864,405
624.199,411
624.534,408
624.869,393
625.204,398
625.539,393
625.874,384
626.208,390
626.543,389
626.878,384
627.212,378
627.547,393
627.881,381
628.216,374
628.55,378
628.885,378
629.219,368
629.553,366
629.887,368
630.222,365
630.556,357
630.89,363
631.224,364
631.558,361
631.892,364
632.226,360
632.56,353
632.893,344
633.227,351
633.561,346
633.895,355
634.228,353
634.562,350
634.895,342
635.229,343
635.562,341
635.896,333
636.229,331
636.562,337
636.896,339
637.229,332
637.562,333
637.895,333
638.228,337
638.561,326
638.894,318
639.227,331
639.56,316
639.893,315
640.226,321
640.558,322
640.891,313
641.224,322
641.556,319
641.889,314
642.222,316
642.554,315
642.886,313
643.219,308
643.551,299
643.883,303
644.216,300
644.548,297
644.88,312
645.212,298
645.544,301
645.876,295
646.208,297
646.54,290
646.872,295
647.204,298
647.536,296
647.867,293
648.199,284
648.531,288
648.862,287
649.194,282
649.525,287
649.857,283
650.188,284
650.52,279
650.851,281
651.182,278
651.513,281
651.844,276
652.176,276
652.507,274
652.838,280
653.169,276
653.5,279
653.831,273
654.161,276
654.492,270
654.823,267
655.154,267
655.484,276
655.815,266
656.145,266
656.476,264
656.806,274
657.137,262
657.467,269
657.798,263
658.128,260
658.458,263
658.788,263
659.118,263
659.449,269
659.779,254
660.109,259
660.439,257
660.768,255
661.098,259
661.428,251
661.758,253
662.088,259
662.417,260
662.747,258
663.076,257
663.406,251
663.736,253
664.065,256
664.394,252
664.724,254
665.053,245
665.382,252
665.711,254
666.041,245
666.37,242
666.699,238
667.028,248
667.357,243
667.686,243
668.015,244
668.343,248
668.672,244
669.001,250
669.33,244
669.658,237
669.987,246
670.315,244
670.644,244
670.972,246
671.301,238
671.629,241
671.957,241
672.286,240
672.614,237
672.942,234
673.27,239
673.598,243
673.926,238
674.254,237
674.582,236
674.91,235
675.238,235
675.566,241
675.893,234
676.221,238
676.549,237
676.876,237
677.204,235
677.531,235
677.859,231
678.186,238
678.513,231
678.841,233
679.168,228
679.495,231
679.822,230
680.149,230
680.477,229
680.804,230
681.131,227
681.457,228
681.784,229
682.111,231
682.438,227
682.765,231
683.091,230
683.418,226
683.745,225
684.071,230
684.398,231
684.724,220
685.051,231
685.377,224
685.703,227
686.029,225
686.356,229
686.682,229
687.008,229
687.334,228
687.66,221
687.986,226
688.312,222
688.638,224
688.964,220
689.289,227
689.615,223
689.941,225
690.266,230
690.592,225
690.918,225
691.243,220
691.569,231
691.894,222
692.219,223
692.545,221
692.87,223
693.195,221
693.52,223
693.845,221
694.17,219
694.495,221
694.82,221
695.145,220
695.47,222
695.795,218
696.12,218
696.444,216
696.769,215
697.094,217
697.418,219
697.743,214
698.067,220
698.392,219
698.716,217
699.041,221
699.365,223
699.689,220
700.013,218
700.337,221
700.662,217
700.986,216
701.31,214
701.634,214
701.957,220
702.281,215
702.605,220
702.929,211
703.253,217
703.576,212
703.9,214
704.223,218
704.547,221
704.87,219
705.194,218
705.517,216
705.841,213
706.164,217
706.487,216
706.81,216
707.133,214
707.456,210
707.779,216
708.102,215
708.425,217
708.748,218
709.071,214
709.394,212
709.717,217
710.039,215
710.362,213
710.685,212
711.007,212
711.33,213
711.652,209
711.975,211
712.297,213
712.619,214
712.941,214
713.264,208
713.586,214
713.908,209
714.23,216
714.552,217
714.874,214
715.196,214
715.518,219
715.84,214
716.161,211
716.483,210
716.805,214
717.126,212
717.448,210
717.769,214
718.091,210
718.412,211
718.734,209
719.055,215
719.376,218
719.698,212
720.019,211
720.34,214
720.661,212
720.982,211
721.303,208
721.624,206
721.945,208
722.266,212
722.587,210
722.907,210
723.228,217
723.549,213
723.869,209
724.19,212
724.51,206
724.831,211
725.151,211
725.471,212
725.792,208
726.112,211
726.432,209
726.752,208
727.073,211
727.393,216
727.713,213
728.033,207
728.352,211
728.672,209
728.992,209
729.312,209
729.632,208
729.951,211
730.271,204
730.59,206
730.91,208
731.229,213
731.549,210
731.868,210
732.188,210
732.507,210
732.826,208
733.145,205
733.464,210
733.783,210
734.102,212
734.421,205
734.74,209
735.059,208
735.378,208
735.697,212
736.016,204
736.334,207
736.653,205
736.971,210
737.29,212
737.609,210
737.927,206
738.245,210
738.564,206
738.882,210
739.2,210
739.518,204
739.837,213
740.155,209
740.473,212
740.791,209
741.109,208
741.426,207
741.744,212
742.062,208
742.38,205
742.698,213
743.015,211
743.333,216
743.65,209
743.968,207
744.285,207
744.603,210
744.92,205
745.237,208
745.554,207
745.872,211
746.189,204
746.506,201
746.823,207
747.14,210
747.457,213
747.774,208
748.091,207
748.407,210
748.724,211
749.041,210
749.358,202
749.674,209
749.991,209
750.307,209
750.624,212
750.94,206
751.256,204
751.573,206
751.889,210
752.205,210
752.521,205
752.837,207
753.153,202
753.469,214
753.785,209
754.101,212
754.417,208
754.733,211
755.049,209
755.364,205
755.68,205
755.996,202
756.311,208
756.627,201
756.942,207
757.258,208
757.573,206
757.888,208
758.203,209
758.519,206
758.834,210
759.149,205
759.464,208
759.779,209
760.094,206
760.409,206
760.724,209
761.038,207
761.353,209
761.668,208
761.982,206
762.297,206
762.612,207
762.926,206
763.241,209
763.555,209
763.869,210
764.184,204
764.498,200
764.812,209
765.126,204
765.44,204
765.754,211
766.068,209
766.382,205
766.696,205
767.01,206
767.324,206
767.638,209
768.265,204
768.578,208
768.892,209
769.205,206
769.519,209
769.832,208
770.146,210
770.459,205
770.772,209
771.085,208
771.398,205
771.712,205
772.025,209
772.338,204
772.651,212
772.963,210
773.276,200
773.589,207
773.902,204
774.214,210
774.527,207
774.84,207
775.152,210
775.465,205
775.777,207
776.089,203
776.402,205
776.714,207
777.026,205
777.338,205
777.651,213
777.963,208
778.275,211
778.587,209
778.899,205
779.21,214
779.522,206
779.834,204
780.146,205
780.457,206
780.769,204
781.081,204
781.392,208
781.704,211
782.015,207
782.326,206
782.638,204
782.949,204
783.26,203
783.571,205
783.882,209
784.193,206
784.504,209
